rank,ticker,sector,sector_rank,composite_score,trailing_pe,trailing_pe_vs_sector_median,valuation_label,return_on_equity,net_margin,asset_turnover,equity_multiplier,dupont_implied_roe,dupont_vs_reported_roe_gap
1,HEROMOTOCO.NS,auto,1,0.8235294117647058,18.007332,0.0,in line with sector,0.28027,0.12109999,2.1770383768779045,1.0360280957411414,0.2731377485358823,-0.007132251464117723
2,UNIONBANK.NS,banking,1,0.8098086124401914,6.385047,-2.4853284999999996,cheap vs sector,0.15798001,0.40460998,0.4405326153885003,1.0,0.1782438927016888,0.0202638827016888
3,IOB.NS,banking,2,0.798611111111111,11.355704,2.4853284999999996,rich vs sector,0.16525999,0.36560002,0.4979208850448562,2.277076136201111,0.41451867917900564,0.24925868917900565
4,BEL.NS,capital_goods,1,0.7911764705882354,48.058678,0.0,in line with sector,,0.21403,1.150981874087837,1.002728829167207,0.24701688297851962,
5,LUPIN.NS,pharma_healthcare,1,0.7761111111111111,21.180435,0.0,in line with sector,0.26907,0.19073999,1.2244836684519564,1.2947300578975574,0.3023945663267333,0.03332456632673331
6,COALINDIA.NS,metals_mining,1,0.7633333333333333,8.461222,-1.6797880000000003,cheap vs sector,,0.18138,1.4139217823847143,1.1181527758057912,0.2867582550149624,
7,COLPAL.NS,fmcg,1,0.7625000000000001,43.699448,0.0,in line with sector,0.81593,0.21959999,3.777244004519888,1.0299284771890842,0.8543079010511583,0.038377901051158236
8,HINDZINC.NS,metals_mining,2,0.75,13.276119,3.135109,rich vs sector,,0.38068,1.731936895134562,1.3903398401696938,0.9166701560557019,
9,IRCTC.NS,infra_logistics_defense,1,0.7468181818181819,28.760933,0.0,in line with sector,0.34959,0.26721,1.2103574830708552,1.0187362920631446,0.32947930756780575,-0.020110692432194266
10,NMDC.NS,metals_mining,3,0.7466666666666667,10.14101,0.0,in line with sector,0.23363,0.23231001,0.941535414635464,1.1880907738724862,0.2598688394849135,0.026238839484913512
