acquisition_likelihood_rank,ticker,sector,acquisition_likelihood_sector_rank,acquisition_likelihood_score,likelihood_components_used,valuation_bucket_score,turnaround_potential_score,leverage_bucket_score,quality_bucket_score,composite_score,rank
1,SKFINDIA.NS,capital_goods,1,0.8496936274509804,3,0.9393382352941176,0.7291666666666667,0.875,0.2708333333333333,0.5505514705882353,74
2,WHIRLPOOL.NS,consumer_durables_retail,1,0.7891483516483517,3,0.8571428571428572,0.815934065934066,0.6428571428571428,0.184065934065934,0.5552197802197802,70
3,ARE&M.NS,auto,1,0.7620588235294119,3,0.8823529411764706,0.6647058823529413,0.7058823529411764,0.3352941176470588,0.5770588235294117,66
4,GNFC.NS,chemicals,1,0.7431818181818182,3,0.7727272727272727,0.590909090909091,0.9090909090909092,0.409090909090909,0.6272727272727273,45
5,CENTRALBK.NS,banking,1,0.7385964912280701,2,0.8421052631578947,0.6203007518796992,,0.3796992481203007,0.5137322472848788,91
6,AUROPHARMA.NS,pharma_healthcare,1,0.7305555555555556,3,0.8888888888888888,0.8333333333333334,0.3333333333333333,0.1666666666666666,0.4388888888888889,122
7,NCC.NS,infra_logistics_defense,1,0.7274999999999999,3,0.9045454545454544,0.759090909090909,0.4,0.2409090909090909,0.5145454545454545,90
8,CYIENT.NS,it,1,0.7176388888888889,3,0.6916666666666667,0.9027777777777778,0.5,0.0972222222222222,0.3533333333333333,160
9,CIPLA.NS,pharma_healthcare,2,0.7152777777777778,3,0.7222222222222222,0.5833333333333333,0.8888888888888888,0.4166666666666667,0.5416666666666667,83
10,GHCL.NS,chemicals,2,0.6954545454545455,3,0.9090909090909092,0.36363636363636365,0.8181818181818181,0.6363636363636364,0.6818181818181818,24
11,GAIL.NS,energy_power,1,0.6900000000000001,3,0.4090909090909091,0.8545454545454546,0.9090909090909092,0.1454545454545454,0.4027272727272727,139
12,HEIDELBERG.NS,cement,1,0.681875,3,0.6875,0.5375,0.875,0.4625,0.595,56
13,ONGC.NS,energy_power,2,0.6731818181818182,3,0.7272727272727273,0.5727272727272728,0.7272727272727273,0.4272727272727272,0.600909090909091,53
14,GLENMARK.NS,pharma_healthcare,3,0.6666666666666667,3,0.6666666666666666,0.6666666666666667,0.6666666666666667,0.3333333333333333,0.5444444444444445,80
15,GLAND.NS,pharma_healthcare,4,0.6583333333333334,3,0.638888888888889,0.5555555555555556,0.8333333333333334,0.4444444444444444,0.6583333333333334,37
16,MRF.NS,auto,2,0.6504901960784313,3,0.8235294117647058,0.5392156862745098,0.5294117647058824,0.4607843137254902,0.5499999999999999,76
17,BANKINDIA.NS,banking,2,0.6447368421052632,2,0.7894736842105263,0.4793233082706767,,0.5206766917293233,0.5885286131996658,60
18,DRREDDY.NS,pharma_healthcare,5,0.6444444444444445,3,0.8333333333333333,0.6111111111111112,0.3888888888888888,0.3888888888888888,0.4555555555555555,115
