ticker,sector,rank,naive_rank,composite_score,trailing_pe
NATIONALUM.NS,metals_mining,1,24.0,0.8566666666666667,10.617186
IOB.NS,banking,2,25.0,0.8183479532163742,11.06
KAJARIACER.NS,consumer_durables_retail,3,104.0,0.8178571428571428,35.055363
UNIONBANK.NS,banking,4,10.0,0.8098086124401914,6.7653365
HAL.NS,capital_goods,5,102.0,0.8017973856209151,34.79068
BEL.NS,capital_goods,6,143.0,0.7910130718954249,49.036144
HEROMOTOCO.NS,auto,7,57.0,0.7901960784313726,20.821072
COALINDIA.NS,metals_mining,8,16.0,0.7766666666666666,8.009059
OBEROIRLTY.NS,realty,9,68.0,0.7750000000000001,25.944897
GNFC.NS,chemicals,10,17.0,0.7727272727272727,8.402788
LUPIN.NS,pharma_healthcare,11,47.0,0.7611111111111111,18.18432
IRCTC.NS,infra_logistics_defense,12,77.0,0.7602272727272726,27.892467
POLYCAB.NS,capital_goods,13,140.0,0.7558823529411764,47.324684
ITC.NS,fmcg,14,44.0,0.7416666666666667,16.945145
COLPAL.NS,fmcg,15,114.0,0.7333333333333333,37.850067
BANKINDIA.NS,banking,16,4.0,0.7314261031366294,5.289386
GILLETTE.NS,consumer_durables_retail,17,136.0,0.7285714285714285,45.353886
EMAMILTD.NS,fmcg,18,63.0,0.725,23.591837
CANBK.NS,banking,19,7.0,0.7244152046783625,5.9324007
ICICIGI.NS,insurance,20,95.0,0.7166666666666667,33.425026
GHCL.NS,chemicals,21,15.0,0.7155303030303031,7.9455843
PNB.NS,banking,22,8.0,0.7139819245082402,6.057038
IDEA.NS,telecom_media,23,1.0,0.7124999999999999,4.0198865
EICHERMOT.NS,auto,24,115.0,0.7099673202614379,38.15877
MARUTI.NS,auto,25,81.0,0.7076797385620914,29.718285
HINDZINC.NS,metals_mining,26,39.0,0.7066666666666667,14.492806
MUTHOOTFIN.NS,nbfc_financial_services,27,23.0,0.7038461538461538,10.584009
ARE&M.NS,auto,28,49.0,0.6995098039215687,18.385912
