ticker,excluded,exclusion_reason,missing_fields,outlier_fields,negative_equity,zero_or_negative_revenue_proxy
LICHSGFIN.NS,False,,['ev_to_ebitda'],[],False,False
LICI.NS,False,,[],[],False,False
LTIM.NS,True,"ingestion failed: yfinance returned an empty info payload for LTIM.NS (no exception, but no usable data — likely a transient Yahoo-side issue or an invalid/delisted symbol)",[],[],False,False
LTTS.NS,False,,['return_on_equity'],[],False,False
LT.NS,False,,[],[],False,False
LUPIN.NS,False,,[],[],False,False
M&M.NS,False,,[],[],False,False
MANAPPURAM.NS,False,,['ev_to_ebitda'],[],False,False
MARICO.NS,False,,[],[],False,False
MARUTI.NS,False,,[],[],False,False
MAZDOCK.NS,False,,[],[],False,False
METROPOLIS.NS,False,,[],[],False,False
MOTHERSON.NS,False,,[],[],False,False
MPHASIS.NS,False,,[],[],False,False
MRF.NS,False,,[],[],False,False
MUTHOOTFIN.NS,False,,['ev_to_ebitda'],[],False,False
NATIONALUM.NS,False,,[],[],False,False
NAVINFLUOR.NS,False,,[],[],False,False
NBCC.NS,False,,[],[],False,False
NCC.NS,False,,[],[],False,False
NESTLEIND.NS,False,,[],[],False,False
NMDC.NS,False,,[],[],False,False
NTPC.NS,False,,[],[],False,False
OBEROIRLTY.NS,False,,['return_on_equity'],[],False,False
ONGC.NS,False,,[],[],False,False
PAGEIND.NS,False,,[],[],False,False
PERSISTENT.NS,False,,[],[],False,False
PFC.NS,False,,['ev_to_ebitda'],[],False,False
PGHH.NS,False,,[],[],False,False
PHOENIXLTD.NS,False,,[],[],False,False
PIDILITIND.NS,False,,[],[],False,False
PIIND.NS,False,,[],[],False,False
PNB.NS,False,,"['ev_to_ebitda', 'return_on_equity', 'debt_to_equity']",[],False,False
POLYCAB.NS,False,,['return_on_equity'],[],False,False
POONAWALLA.NS,False,,"['ev_to_ebitda', 'return_on_equity', 'total_debt']",[],False,False
POWERGRID.NS,False,,[],[],False,False
PRESTIGE.NS,False,,[],[],False,False
PVRINOX.NS,False,,[],[],False,False
RAMCOCEM.NS,False,,[],[],False,False
RATNAMANI.NS,False,,[],[],False,False
RBLBANK.NS,False,,"['ev_to_ebitda', 'return_on_equity', 'debt_to_equity']",[],False,False
RECLTD.NS,True,missing critical fields: ['market_cap'],"['market_cap', 'ev_to_ebitda']",[],False,False
RELAXO.NS,False,,[],[],False,False
RELIANCE.NS,True,missing critical fields: ['market_cap'],"['market_cap', 'ev_to_ebitda', 'return_on_equity', 'total_debt']",[],False,False
RVNL.NS,False,,[],[],False,False
SAIL.NS,False,,[],[],False,False
SBICARD.NS,False,,['ev_to_ebitda'],[],False,False
SBILIFE.NS,False,,['debt_to_equity'],[],False,False
SBIN.NS,False,,"['ev_to_ebitda', 'debt_to_equity']",[],False,False
SHREECEM.NS,False,,['return_on_equity'],[],False,False
