ticker,sector,fetched_at,market_cap,price,trailing_pe,ev_to_ebitda,return_on_equity,debt_to_equity,revenue_growth,net_margin,asset_turnover,total_debt,total_equity,fetch_ok,error,debt_to_equity_ratio
AARTIIND.NS,chemicals,2026-07-31T06:16:36.938363+00:00,177300799488,488.8,42.320343,18.866,0.07249,83.392,0.132,0.05057,1.3914357682619647,49659998208.0,59550000000.0,True,,0.83392
ABBOTINDIA.NS,pharma_healthcare,2026-07-31T06:15:34.439698+00:00,590411857920,27785.0,38.077812,30.576,0.34460998,3.602,0.065,0.22399001,1.4509058081056683,1719900032.0,47741900000.0,True,,0.036019999999999996
ABB.NS,capital_goods,2026-07-31T06:16:19.992114+00:00,1579247075328,7452.5,101.93544,79.232,,1.082,0.008,0.22257,1.667347712286514,848200000.0,78359900000.0,True,,0.010820000000000001
ACC.NS,cement,2026-07-31T06:14:09.618741+00:00,254395400192,1354.7,13.3546915,10.478,,2.085,-0.038,0.07563,1.2187217464845206,4286099968.0,205505400000.0,True,,0.02085
ADANIENT.NS,infra_logistics_defense,2026-07-31T06:17:03.174672+00:00,4291545530368,3015.9,52.061108,33.382,,119.56,0.499,0.06546,1.238997132563782,1066217897984.0,809259500000.0,True,,1.1956
ADANIGREEN.NS,energy_power,2026-07-31T06:16:15.281422+00:00,2242301132800,1361.3,130.39273,28.462,,346.548,0.166,0.13095,0.6173804157275231,1035449991168.0,199650000000.0,True,,3.46548
ADANIPORTS.NS,infra_logistics_defense,2026-07-31T06:17:02.228486+00:00,3853832159232,1672.7,29.47489,,,64.051,0.186,0.32431,0.4029716422211426,,961253000000.0,True,,0.64051
ADANIPOWER.NS,energy_power,2026-07-31T06:16:16.294619+00:00,4038215073792,209.4,28.373983,20.77,,82.332,0.34,0.24148001,0.8339199542694382,546702884864.0,649368800000.0,True,,0.8233199999999999
ALKEM.NS,pharma_healthcare,2026-07-31T06:15:33.466425+00:00,690727026688,5777.0,30.041601,22.345,0.17557,14.267,0.146,0.15645,1.0515365301264101,20471599104.0,138201000000.0,True,,0.14267
AMBUJACEM.NS,cement,2026-07-31T06:14:10.611679+00:00,1074062229504,432.25,24.215685,19.227,,1.205,-0.077,0.11128,0.6734828127032526,8659300352.0,593473200000.0,True,,0.01205
APLAPOLLO.NS,metals_mining,2026-07-31T06:16:01.710723+00:00,517166530560,1862.6,42.408928,28.962,0.25314,9.396,0.136,0.05213,4.226091422119765,4976500224.0,52965300000.0,True,,0.09396
