acquisition_likelihood_rank,ticker,sector,acquisition_likelihood_sector_rank,acquisition_likelihood_score,likelihood_components_used,valuation_bucket_score,turnaround_potential_score,leverage_bucket_score,quality_bucket_score,composite_score,rank
1,SKFINDIA.NS,capital_goods,1,0.8464052287581699,3,0.9411764705882352,0.7124183006535948,0.8823529411764706,0.2875816993464052,0.5568627450980391,68
2,WHIRLPOOL.NS,consumer_durables_retail,1,0.8201048951048953,3,0.9230769230769232,0.7937062937062938,0.6923076923076923,0.2062937062937063,0.6003496503496504,54
3,HEIDELBERG.NS,cement,1,0.8,3,0.6875,0.875,0.875,0.125,0.49375,97
4,BPCL.NS,energy_power,1,0.788888888888889,3,0.7777777777777778,0.8888888888888888,0.6666666666666667,0.1111111111111111,0.6000000000000001,55
5,ARE&M.NS,auto,1,0.7504807692307693,3,0.8516483516483517,0.6607142857142857,0.7142857142857143,0.3392857142857143,0.5715659340659341,63
6,ONGC.NS,energy_power,2,0.7347222222222222,3,0.8888888888888888,0.5277777777777778,0.7777777777777778,0.4722222222222222,0.6527777777777778,32
7,AUROPHARMA.NS,pharma_healthcare,1,0.7220588235294116,3,0.9117647058823528,0.8109243697478992,0.2941176470588235,0.1890756302521008,0.4243697478991596,129
8,GNFC.NS,chemicals,1,0.7143939393939395,3,0.7272727272727273,0.5606060606060608,0.9090909090909092,0.4393939393939393,0.6045454545454545,51
9,DRREDDY.NS,pharma_healthcare,2,0.7125,3,0.7941176470588235,0.8760504201680673,0.3529411764705882,0.1239495798319327,0.3577731092436975,156
10,CENTRALBK.NS,banking,1,0.7012759170653909,2,0.7894736842105263,0.6004784688995216,,0.3995215311004784,0.4736509835194045,106
11,CYIENT.NS,it,1,0.6964646464646465,3,0.6616161616161615,0.9090909090909091,0.4545454545454546,0.0909090909090909,0.4803030303030303,102
12,BANKINDIA.NS,banking,2,0.693939393939394,2,0.9473684210526316,0.40430622009569384,,0.5956937799043062,0.7314261031366294,15
13,BANKBARODA.NS,banking,3,0.6909090909090909,2,0.6842105263157895,0.6985645933014354,,0.3014354066985646,0.5085061137692717,90
14,CIPLA.NS,pharma_healthcare,3,0.6882352941176471,3,0.7058823529411764,0.5294117647058825,0.8823529411764706,0.4705882352941176,0.5529411764705883,70
15,ACC.NS,cement,2,0.68125,3,0.875,0.5,0.625,0.5,0.5875,57
16,NCC.NS,infra_logistics_defense,1,0.6781818181818181,3,0.9,0.6948051948051948,0.3,0.3051948051948052,0.5124675324675325,86
17,GHCL.NS,chemicals,2,0.6742424242424243,3,0.9090909090909092,0.303030303030303,0.8181818181818181,0.696969696969697,0.7000000000000001,24
18,GAIL.NS,energy_power,3,0.6673611111111111,3,0.4444444444444444,0.7638888888888888,0.8888888888888888,0.2361111111111111,0.4263888888888889,128
19,UCOBANK.NS,banking,4,0.6647527910685805,2,0.5263157894736843,0.8229665071770336,,0.1770334928229665,0.5137559808612441,83
20,GLENMARK.NS,pharma_healthcare,4,0.6625,3,0.6470588235294117,0.6911764705882353,0.6470588235294117,0.3088235294117647,0.5102941176470588,87
21,LT.NS,capital_goods,2,0.6617647058823529,3,0.8823529411764706,0.8823529411764706,0.0,0.1176470588235294,0.3588235294117647,154
22,COALINDIA.NS,metals_mining,1,0.6433333333333333,3,0.9,0.33333333333333337,0.6666666666666667,0.6666666666666666,0.7633333333333333,6
23,GICRE.NS,insurance,1,0.638888888888889,2,0.8333333333333334,0.41666666666666663,,0.5833333333333334,0.6145833333333334,47
24,KAJARIACER.NS,consumer_durables_retail,2,0.6353146853146854,3,0.8076923076923077,0.3426573426573427,0.7692307692307692,0.6573426573426573,0.7318181818181817,13
25,MRF.NS,auto,2,0.6295558608058608,3,0.8186813186813187,0.5059523809523809,0.5,0.494047619047619,0.5509615384615385,71
26,SUPREMEIND.NS,capital_goods,3,0.6294117647058823,3,0.7941176470588235,0.47058823529411764,0.5882352941176471,0.5294117647058824,0.5617647058823529,65
27,TECHM.NS,it,2,0.6292929292929293,3,0.4595959595959596,0.8181818181818182,0.6363636363636364,0.1818181818181818,0.4651515151515152,110
28,BAJAJHLDNG.NS,nbfc_financial_services,1,0.6260683760683761,3,0.3076923076923077,0.7777777777777778,0.9230769230769232,0.2222222222222222,0.358974358974359,153
29,ITC.NS,fmcg,1,0.6125,3,0.9166666666666666,0.16666666666666674,0.75,0.8333333333333333,0.7083333333333333,23
30,EMAMILTD.NS,fmcg,2,0.6104166666666666,3,0.8333333333333334,0.375,0.5833333333333333,0.625,0.6041666666666667,52
31,GLAND.NS,pharma_healthcare,5,0.6066176470588236,3,0.5294117647058824,0.5399159663865546,0.8235294117647058,0.4600840336134454,0.6144957983193278,48
32,NBCC.NS,infra_logistics_defense,2,0.6063636363636363,3,0.55,0.461038961038961,0.9,0.538961038961039,0.5612337662337663,66
33,SAIL.NS,metals_mining,2,0.6033333333333333,3,0.5666666666666667,0.9333333333333333,0.1999999999999999,0.0666666666666666,0.2833333333333333,177
34,UPL.NS,chemicals,3,0.591919191919192,3,0.6363636363636364,0.898989898989899,0.0909090909090909,0.101010101010101,0.403030303030303,137
35,HCLTECH.NS,it,3,0.5904545454545456,3,0.7272727272727273,0.3363636363636364,0.7272727272727273,0.6636363636363636,0.6172727272727273,46
36,SBICARD.NS,nbfc_financial_services,2,0.5878205128205128,3,0.3076923076923077,0.8333333333333334,0.6923076923076923,0.1666666666666666,0.3884615384615384,141
37,IPCALAB.NS,pharma_healthcare,6,0.5830882352941177,3,0.5882352941176471,0.615546218487395,0.5294117647058824,0.384453781512605,0.4447478991596638,112
38,BAJAJFINSV.NS,nbfc_financial_services,3,0.5805021367521368,3,0.3269230769230769,0.6805555555555556,0.8461538461538461,0.3194444444444445,0.4400641025641026,118
39,HAL.NS,capital_goods,4,0.5800653594771242,3,0.7647058823529411,0.11111111111111116,0.9411764705882352,0.8888888888888888,0.7196078431372549,18
40,CHAMBLFERT.NS,chemicals,4,0.5785353535353535,3,0.8181818181818181,0.3282828282828283,0.5454545454545454,0.6717171717171717,0.6651515151515152,28
41,MOTHERSON.NS,auto,3,0.5742673992673992,3,0.4862637362637362,0.880952380952381,0.2857142857142857,0.119047619047619,0.3244505494505494,167
42,MARUTI.NS,auto,4,0.5733516483516483,3,0.478021978021978,0.4285714285714286,0.9285714285714286,0.5714285714285714,0.6291208791208791,37
43,NATIONALUM.NS,metals_mining,3,0.5711111111111111,3,0.7666666666666667,0.0888888888888888,0.9333333333333332,0.9111111111111112,0.73,16
44,COROMANDEL.NS,chemicals,5,0.5681818181818181,3,0.5,0.7272727272727273,0.4545454545454546,0.2727272727272727,0.4681818181818182,109
45,DABUR.NS,fmcg,3,0.5625,3,0.7083333333333334,0.5,0.4166666666666666,0.5,0.5458333333333333,74
46,SBIN.NS,banking,5,0.560127591706539,2,0.631578947368421,0.47846889952153115,,0.5215311004784688,0.5018607123870281,92
47,PNB.NS,banking,6,0.5585326953748005,2,0.8421052631578947,0.23444976076555024,,0.7655502392344498,0.7139819245082402,21
48,LICHSGFIN.NS,nbfc_financial_services,4,0.553311965811966,3,0.9230769230769232,0.36111111111111116,0.2307692307692307,0.6388888888888888,0.5762820512820512,61
49,IRCON.NS,infra_logistics_defense,3,0.5495454545454547,3,0.8,0.5844155844155845,0.0999999999999999,0.4155844155844155,0.421038961038961,130
