rank,ticker,sector,fetched_at,market_cap,price,trailing_pe,ev_to_ebitda,return_on_equity,debt_to_equity,revenue_growth,net_margin,asset_turnover,total_debt,total_equity,fetch_ok,error,debt_to_equity_ratio,sector_rank,composite_score,buckets_used,valuation_bucket_score,quality_bucket_score,leverage_bucket_score,growth_bucket_score,trailing_pe_score,ev_to_ebitda_score,return_on_equity_score,net_margin_score,debt_to_equity_ratio_score,revenue_growth_score
18,PGHH.NS,consumer_durables_retail,2026-07-16T05:44:21.766946+00:00,286823055360,8836.0,33.51413,23.972,1.14931,0.115,-0.051,0.19962999,5.682495653443402,8700000.0,7534700000.0,True,,0.00115,2,0.7107142857142856,4,0.7857142857142857,0.9642857142857143,0.8571428571428572,0.07142857142857142,0.9285714285714286,0.6428571428571428,1.0,0.9285714285714286,0.8571428571428572,0.07142857142857142
19,PNB.NS,banking,2026-07-16T05:41:35.052963+00:00,1213999480832,105.63,6.5567966,,0.12985,,0.152,0.31221,0.4175437957776446,63164899328.0,1499722200000.0,True,,,3,0.7103664108187133,3,0.7894736842105263,0.6233552631578947,,0.7222222222222222,0.7894736842105263,,0.5625,0.6842105263157895,,0.7222222222222222
20,BANKINDIA.NS,banking,2026-07-16T05:41:41.684397+00:00,661730295808,145.35,5.971652,,0.12056,,0.101,0.31886,0.3623690818371102,1186258878464.0,899585454000.0,True,,,4,0.7084932383040935,3,0.8947368421052632,0.587171052631579,,0.6111111111111112,0.8947368421052632,,0.4375,0.7368421052631579,,0.6111111111111112
21,HINDZINC.NS,metals_mining,2026-07-16T05:43:18.662488+00:00,2229911945216,527.75,16.129278,9.873,0.76941,39.034,0.43,0.35115,1.731936895134562,88330002432.0,226290000000.0,True,,0.3903399999999999,4,0.7033333333333334,4,0.5,1.0,0.4,0.8666666666666667,0.6,0.4,1.0,1.0,0.4,0.8666666666666667
22,ICICIGI.NS,insurance,2026-07-16T05:42:06.166728+00:00,801936637952,1606.0,29.067873,22.274,0.17851,0.057,0.122,0.10264,1.69177624716768,91600000.0,166338900000.0,True,,0.00057,2,0.7000000000000002,4,0.5,0.8333333333333334,0.6666666666666667,0.8333333333333334,0.5,0.5,0.8333333333333334,0.8333333333333334,0.6666666666666667,0.8333333333333334
23,GICRE.NS,insurance,2026-07-16T05:42:08.317949+00:00,639917424640,364.75,6.6233883,3.267,0.10686,,-0.013,0.18268,0.7641097251706209,0.0,704808200000.0,True,,,3,0.6979166666666666,3,0.8333333333333334,0.5833333333333334,,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.16666666666666666,1.0,,0.6666666666666666
24,ITC.NS,fmcg,2026-07-16T05:42:52.515215+00:00,3485071572992,278.0,16.786362,11.953,0.2934,3.293,-0.05,0.26233,1.078695248616346,23993600000.0,725073000000.0,True,,0.03293,2,0.6871212121212121,4,0.9166666666666666,0.8181818181818181,0.75,0.08333333333333333,0.9166666666666666,0.9166666666666666,0.6363636363636364,1.0,0.75,0.08333333333333333
25,KAJARIACER.NS,consumer_durables_retail,2026-07-16T05:44:18.336907+00:00,195181789184,1225.3,39.938072,22.241,0.16499001,7.302,0.124,0.10049,1.5756757285733858,2285900032.0,30655800000.0,True,,0.07302,3,0.6835164835164835,4,0.75,0.6236263736263736,0.7142857142857143,0.6428571428571429,0.7857142857142857,0.7142857142857143,0.46153846153846156,0.7857142857142857,0.7142857142857143,0.6428571428571429
26,GHCL.NS,chemicals,2026-07-16T05:44:06.693717+00:00,40093999104,437.4,8.723574,4.223,0.13420999,2.345,0.012,0.15419,0.8614242437892745,833000000.0,35519200000.0,True,,0.02345,1,0.6818181818181818,4,0.9090909090909091,0.6363636363636364,0.8181818181818181,0.2727272727272727,0.9090909090909091,0.9090909090909091,0.5454545454545454,0.7272727272727273,0.8181818181818181,0.2727272727272727
27,BEL.NS,capital_goods,2026-07-16T05:43:38.898772+00:00,2999933206528,410.4,49.44578,36.265,0.27556,0.273,0.117,0.21956,1.150981874087837,654600000.0,239883100000.0,True,,0.00273,2,0.6811764705882353,4,0.5588235294117647,0.907843137254902,0.8235294117647058,0.38235294117647056,0.6470588235294117,0.47058823529411764,0.9333333333333333,0.8823529411764706,0.8235294117647058,0.38235294117647056
