rank,ticker,sector,fetched_at,market_cap,price,trailing_pe,ev_to_ebitda,return_on_equity,debt_to_equity,revenue_growth,net_margin,asset_turnover,total_debt,total_equity,fetch_ok,error,debt_to_equity_ratio,sector_rank,composite_score,buckets_used,valuation_bucket_score,quality_bucket_score,leverage_bucket_score,growth_bucket_score,trailing_pe_score,ev_to_ebitda_score,return_on_equity_score,net_margin_score,debt_to_equity_ratio_score,revenue_growth_score
1,NATIONALUM.NS,metals_mining,2026-08-07T04:56:16.319191+00:00,695624269824,378.75,11.322869,6.686,,0.277,0.393,0.34908,0.9357920950001796,598300032.0,178054400000.0,True,,0.00277,1,0.8533333333333333,4,0.8,0.9333333333333333,0.9333333333333333,0.7333333333333333,0.8,0.8,,0.9333333333333333,0.9333333333333333,0.7333333333333333
2,KAJARIACER.NS,consumer_durables_retail,2026-08-07T04:57:01.941349+00:00,183385948160,1167.0,34.05311,19.3,,7.302,0.204,0.107980005,1.5756757285733858,2285900032.0,30655800000.0,True,,0.07302,1,0.8277472527472527,4,0.9258241758241759,0.7857142857142857,0.7142857142857143,0.8571428571428571,0.9285714285714286,0.9230769230769231,,0.7857142857142857,0.7142857142857143,0.8571428571428571
3,BEL.NS,capital_goods,2026-08-07T04:56:33.506854+00:00,2918794657792,399.3,46.53846,34.6,,0.273,0.249,0.21403,1.150981874087837,654600000.0,239883100000.0,True,,0.00273,1,0.8274101307189543,4,0.6654411764705882,0.9444444444444444,0.8333333333333334,0.8888888888888888,0.7058823529411764,0.625,,0.9444444444444444,0.8333333333333334,0.8888888888888888
4,IOB.NS,banking,2026-08-07T04:55:10.948412+00:00,665122635776,34.54,11.399341,,0.16525999,,0.481,0.36560002,0.4979208850448562,472398987264.0,369906675000.0,True,,,1,0.8183479532163742,3,0.631578947368421,0.9210526315789473,,0.9444444444444444,0.631578947368421,,1.0,0.8421052631578947,,0.9444444444444444
5,UNIONBANK.NS,banking,2026-08-07T04:55:06.889498+00:00,1389239992320,181.99,6.4834347,,0.15798001,,,0.40460998,0.4405326153885003,,1334472821000.0,True,,,2,0.8098086124401914,2,0.736842105263158,0.8827751196172249,,,0.736842105263158,,0.8181818181818182,0.9473684210526315,,
6,HEROMOTOCO.NS,auto,2026-08-07T04:55:33.108650+00:00,1146108641280,5719.5,20.470062,14.534,0.28027,3.57,0.302,0.12109999,2.1770383768779045,7786100224.0,216111900000.0,True,,0.0356999999999999,1,0.7990196078431373,4,0.7745098039215687,0.8888888888888888,0.7777777777777778,0.7222222222222222,0.8823529411764706,0.6666666666666667,1.0,0.7777777777777778,0.7777777777777778,0.7222222222222222
7,LUPIN.NS,pharma_healthcare,2026-08-07T04:55:46.965169+00:00,1095534772224,2396.0,20.58596,13.558,0.26907,29.388,0.319,0.19073999,1.2244836684519564,66161799168.0,224482700000.0,True,,0.29388,1,0.7784640522875816,4,0.9133986928104575,0.8666666666666667,0.2777777777777778,0.9444444444444444,0.9444444444444444,0.8823529411764706,0.9,0.8333333333333334,0.2777777777777778,0.9444444444444444
8,OBEROIRLTY.NS,realty,2026-08-07T04:57:22.421678+00:00,648011907072,1782.2,25.073156,17.935,,15.765,0.317,0.41592997,0.3352967120483635,28253941760.0,179216231000.0,True,,0.15765,1,0.7750000000000001,4,0.75,0.8333333333333334,0.6666666666666667,0.8333333333333334,0.8333333333333334,0.6666666666666667,,0.8333333333333334,0.6666666666666667,0.8333333333333334
9,NMDC.NS,metals_mining,2026-08-07T04:56:13.067453+00:00,747392401408,85.01,9.989424,7.633,0.23363,18.802,0.619,0.23231001,0.941535414635464,64068100096.0,340623300000.0,True,,0.18802,2,0.7691666666666667,4,0.7666666666666667,0.775,0.6,0.9333333333333333,0.8666666666666667,0.6666666666666667,0.75,0.8,0.6,0.9333333333333333
10,COALINDIA.NS,metals_mining,2026-08-07T04:56:12.299792+00:00,2547980173312,413.45,8.174179,5.253,,11.629,0.451,0.18138,1.4139217823847143,140721799168.0,1191015600000.0,True,,0.1162899999999999,3,0.7633333333333333,4,0.9,0.6666666666666666,0.6666666666666667,0.8,0.9333333333333333,0.8666666666666667,,0.6666666666666666,0.6666666666666667,0.8
