rank,ticker,sector,fetched_at,market_cap,price,trailing_pe,ev_to_ebitda,return_on_equity,debt_to_equity,revenue_growth,net_margin,asset_turnover,total_debt,total_equity,fetch_ok,error,debt_to_equity_ratio,sector_rank,composite_score,buckets_used,valuation_bucket_score,quality_bucket_score,leverage_bucket_score,growth_bucket_score,trailing_pe_score,ev_to_ebitda_score,return_on_equity_score,net_margin_score,debt_to_equity_ratio_score,revenue_growth_score
170,PRESTIGE.NS,realty,2026-08-16T03:50:43.148275+00:00,685937917952,1592.5,60.23071,25.796,0.07752,105.493,0.159,0.08725,0.7709013144553214,176593993728.0,162729000000.0,True,,1.05493,6,0.32499999999999996,4,0.3333333333333333,0.41666666666666663,0.0,0.5,0.16666666666666663,0.5,0.5,0.3333333333333333,0.0,0.5
171,GMRAIRPORT.NS,infra_logistics_defense,2026-08-16T03:50:31.032814+00:00,1071841673216,101.51,253.77501,22.889,,,0.237,0.030720001,-5.971307707197471,432825204736.0,-24797600000.0,True,,,12,0.3229166666666667,3,0.16666666666666669,0.08333333333333333,,0.9166666666666666,0.0,0.33333333333333337,,0.08333333333333333,,0.9166666666666666
172,JINDALSTEL.NS,metals_mining,2026-08-16T03:49:25.957828+00:00,1110588260352,1091.5,40.818996,13.929,,43.613,0.259,0.04818,0.8558415101620054,226095497216.0,508989100000.0,True,,0.43613,12,0.32285714285714284,4,0.2095238095238095,0.2,0.33333333333333337,0.6666666666666666,0.1333333333333333,0.2857142857142857,,0.2,0.33333333333333337,0.6666666666666666
173,IDFCFIRSTB.NS,banking,2026-08-16T03:48:06.985408+00:00,738752331776,85.69,33.084946,,,,-0.011,0.32775003,0.621168003162615,,474038100000.0,True,,,17,0.31798245614035087,3,0.052631578947368474,0.6842105263157895,,0.16666666666666666,0.052631578947368474,,,0.6842105263157895,,0.16666666666666666
174,UNOMINDA.NS,auto,2026-08-16T03:48:50.659013+00:00,716059312128,1240.0,59.529526,33.569,,37.74,0.238,0.05801,2.838393925239803,27401199616.0,68295700000.0,True,,0.3774,13,0.3173809523809524,4,0.10238095238095235,0.3333333333333333,0.4,0.5333333333333333,0.0714285714285714,0.1333333333333333,,0.3333333333333333,0.4,0.5333333333333333
175,ADANIGREEN.NS,energy_power,2026-08-16T03:49:41.044162+00:00,2220393496576,1348.0,129.86513,28.311,,346.548,0.166,0.13095,0.6173804157275231,1035449991168.0,199650000000.0,True,,3.46548,8,0.3111111111111111,4,0.0,0.6666666666666666,0.0,0.5555555555555556,0.0,0.0,,0.6666666666666666,0.0,0.5555555555555556
176,ICICIPRULI.NS,insurance,2026-08-16T03:48:31.337684+00:00,738141470720,509.15,43.854435,39.565,0.12579,19.037,-0.831,0.025510002,4.56354998400723,25949999104.0,136311600000.0,True,,0.1903699999999999,6,0.30833333333333335,4,0.3666666666666667,0.55,0.0,0.16666666666666666,0.33333333333333337,0.4,0.6,0.5,0.0,0.16666666666666666
177,FORTIS.NS,pharma_healthcare,2026-08-16T03:49:01.795003+00:00,701356113920,929.0,67.124275,36.374,,34.15,0.175,0.11023,0.914358594105076,34725834752.0,98955475000.0,True,,0.3414999999999999,16,0.3027573529411765,4,0.24448529411764708,0.29411764705882354,0.17647058823529416,0.5294117647058824,0.17647058823529416,0.3125,,0.29411764705882354,0.17647058823529416,0.5294117647058824
178,RBLBANK.NS,banking,2026-08-16T03:48:12.406402+00:00,596791656448,385.0,31.739489,,,,0.408,0.09082,0.6275438940062241,152253202432.0,167242424000.0,True,,,18,0.30116959064327486,3,0.10526315789473684,0.10526315789473684,,0.8888888888888888,0.10526315789473684,,,0.10526315789473684,,0.8888888888888888
179,CARBORUNIV.NS,capital_goods,2026-08-16T03:49:57.768264+00:00,219385987072,1151.6,104.12296,36.311,,10.292,0.194,0.03849,1.3204153933179514,4125339904.0,38998220000.0,True,,0.10292,17,0.29444444444444445,4,0.2777777777777778,0.1111111111111111,0.16666666666666663,0.7222222222222222,0.0,0.5555555555555556,,0.1111111111111111,0.16666666666666663,0.7222222222222222
