ticker,sector,fetched_at,market_cap,price,trailing_pe,ev_to_ebitda,return_on_equity,debt_to_equity,revenue_growth,net_margin,asset_turnover,total_debt,total_equity,fetch_ok,error,debt_to_equity_ratio
AARTIIND.NS,chemicals,2026-09-21T08:40:04.526322+00:00,180275167232,497.0,33.948086,17.124,,83.392,0.425,0.05901,1.3705483684627682,49659998208,59551200000.0,True,,0.83392
ABBOTINDIA.NS,pharma_healthcare,2026-09-21T08:38:56.510371+00:00,572774940672,26955.0,35.428413,29.035,,3.602,0.043,0.23052,1.4509058081056683,1719900032,47741900000.0,True,,0.036019999999999996
ABB.NS,capital_goods,2026-09-21T08:39:45.645566+00:00,1540679794688,7270.5,97.08239,76.17,0.19131,1.547,0.121,0.21349001,1.667347712286514,1445200000,78359900000.0,True,,0.01547
ACC.NS,cement,2026-09-21T08:37:22.428852+00:00,236461719552,1259.2,12.416921,9.727,,2.085,-0.038,0.07563,1.2187217464845206,4286099968,205505400000.0,True,,0.02085
ADANIENT.NS,infra_logistics_defense,2026-09-21T08:40:33.595216+00:00,4255402164224,2990.5,51.846394,33.131,,119.56,0.499,0.06546,1.238997132563782,1066217897984,809259500000.0,True,,1.1956
ADANIGREEN.NS,energy_power,2026-09-21T08:39:40.534448+00:00,2157800849408,1310.0,125.84054,28.121,,346.548,0.166,0.13095,0.6173804157275231,1035449991168,199650000000.0,True,,3.46548
ADANIPORTS.NS,infra_logistics_defense,2026-09-21T08:40:32.654739+00:00,4130076884992,1792.6,30.616568,20.58,,64.051,0.186,0.32431,0.4029716422211426,633989890048,961253000000.0,True,,0.64051
ADANIPOWER.NS,energy_power,2026-09-21T08:39:41.494456+00:00,3987110625280,206.75,27.939188,20.562,,82.332,0.34,0.24148001,0.8339199542694382,546702884864,649368800000.0,True,,0.8233199999999999
ALKEM.NS,pharma_healthcare,2026-09-21T08:38:55.470813+00:00,641047724032,5361.5,29.721714,21.827,,14.267,0.109,0.14306,1.0515365301264101,20471599104,138201000000.0,True,,0.14267
AMBUJACEM.NS,cement,2026-09-21T08:37:23.480298+00:00,978272518144,393.7,22.093155,17.406,,1.205,-0.077,0.11128,0.6734828127032526,8659300352,593473200000.0,True,,0.01205
APLAPOLLO.NS,metals_mining,2026-09-21T08:39:25.746562+00:00,608710492160,2192.3,49.521122,33.949,,9.396,0.085,0.052259997,4.226419939092198,4976500224,52965300000.0,True,,0.09396
APOLLOHOSP.NS,pharma_healthcare,2026-09-21T08:38:57.563919+00:00,1282487222272,8919.5,61.556248,36.745,,85.146,0.206,0.07906,2.6276727038744316,84929003520,94801000000.0,True,,0.85146
ARE&M.NS,auto,2026-09-21T08:38:44.285894+00:00,145248927744,793.6,15.749156,9.814,,5.015,0.239,0.06303,1.6989773995673518,4061600000,80989600000.0,True,,0.05015
ASTRAL.NS,capital_goods,2026-09-21T08:39:56.541531+00:00,378528104448,1409.0,65.77965,34.963,,6.168,0.159,0.084809996,1.6150225486088863,2503000064,40579000000.0,True,,0.06168
AUBANK.NS,banking,2026-09-21T08:38:03.047675+00:00,782540013568,1044.2,27.631647,,,,0.298,0.25577998,0.6056505808039263,138715447296,199735220000.0,True,,
AUROPHARMA.NS,pharma_healthcare,2026-09-21T08:38:52.498719+00:00,987348533248,1716.0,26.82088,13.986,,21.31,0.163,0.10627,0.8810737756251688,80728399872,378909700000.0,True,,0.21309999999999998
AXISBANK.NS,banking,2026-09-21T08:37:53.134287+00:00,3901519822848,1253.1,14.10037,,0.13352999,,0.14,0.36031,0.40954805802859856,2852579704832,2150353500000.0,True,,
BAJAJ-AUTO.NS,auto,2026-09-21T08:38:35.344468+00:00,3165465346048,11519.0,27.423578,19.921,,56.352,0.64,0.16251,1.5550691581863303,226649604096,388319900000.0,True,,0.56352
BAJAJFINSV.NS,nbfc_financial_services,2026-09-21T08:38:10.369977+00:00,2977735376896,1860.8,29.457022,12.114,,256.404,0.193,0.06471,1.7602195570125265,3614400839680,779150700000.0,True,,2.56404
BAJAJHLDNG.NS,nbfc_financial_services,2026-09-21T08:38:19.188430+00:00,1268412186624,11397.0,14.3289995,134.562,0.11598,0.012,0.242,,0.11933165806750952,96200000,731505800000.0,True,,0.00012
BAJFINANCE.NS,nbfc_financial_services,2026-09-21T08:38:09.380744+00:00,6387634012160,1026.8,31.535627,,,314.833,0.261,0.43495,0.43566558730066274,3683091742720,1139990200000.0,True,,3.14833
BANDHANBNK.NS,banking,2026-09-21T08:37:56.971162+00:00,288927055872,179.33,21.399761,,,,0.216,0.13617,0.530364785165566,143028125696,255748969000.0,True,,
BANKBARODA.NS,banking,2026-09-21T08:37:59.858946+00:00,1209478283264,233.88,6.659454,,0.113170005,,0.18,0.27392,0.4513840264406158,1732858085376,1658680884000.0,True,,
