rank,ticker,sector,sector_rank,composite_score,trailing_pe,trailing_pe_vs_sector_median,valuation_label,return_on_equity,net_margin,asset_turnover,equity_multiplier,dupont_implied_roe,dupont_vs_reported_roe_gap
1,NATIONALUM.NS,metals_mining,1,0.8666666666666667,9.54001,0.7148015000000001,in line with sector,,0.34908,0.8206567297931698,1.0027694318799873,0.2872682238220279,
2,HEROMOTOCO.NS,auto,1,0.8011904761904762,19.569403,0.0,in line with sector,,0.10724,2.1770383768779045,1.0360280957411414,0.24187691636463401,
3,KAJARIACER.NS,consumer_durables_retail,1,0.7961538461538462,35.033497,-0.27696149999999875,in line with sector,,0.107980005,1.5738065879866123,1.0745666409619061,0.18261147160248598,
4,BEL.NS,capital_goods,1,0.7821895424836602,47.15827,6.3971625,rich vs sector,,0.21403,1.1170636864372687,1.002728829167207,0.23973756331385174,
5,IOB.NS,banking,1,0.7796052631578948,10.795301,0.0,in line with sector,0.16525999,0.36560002,0.4979208850448562,2.277076136201111,0.41451867917900564,0.24925868917900565
6,HAL.NS,capital_goods,2,0.776797385620915,34.363945,-6.3971625,cheap vs sector,,0.27591,0.7746313940750155,1.0016037574023322,0.21407131668008478,
7,COALINDIA.NS,metals_mining,2,0.7766666666666666,8.110407,-0.7148015000000001,in line with sector,,0.18138,1.3972722103723914,1.1181527758057912,0.28338154614995914,
8,OBEROIRLTY.NS,realty,1,0.7750000000000001,24.095572,0.0,in line with sector,,0.41592997,0.3352967120483635,1.1576528063465412,0.16144620409191562,
9,GNFC.NS,chemicals,1,0.7727272727272727,8.342543,0.0,in line with sector,,0.12331,0.8481865455502896,1.0006582411795681,0.10465872829971813,
10,GILLETTE.NS,consumer_durables_retail,2,0.7576923076923077,35.58742,0.27696150000000586,in line with sector,,0.21035999,3.269158839005526,1.0000211320435743,0.6877147531926436,
