rank,ticker,sector,sector_rank,composite_score,trailing_pe,trailing_pe_vs_sector_median,valuation_label,return_on_equity,net_margin,asset_turnover,equity_multiplier,dupont_implied_roe,dupont_vs_reported_roe_gap
1,UNIONBANK.NS,banking,1,0.882591093117409,6.264164,-0.3804179999999997,in line with sector,0.15798001,0.40460998,0.4405326153885003,1.0,0.1782438927016888,0.0202638827016888
2,HEROMOTOCO.NS,auto,1,0.8147058823529412,17.132782,0.0,in line with sector,0.28027,0.12109999,2.1770383768779045,1.0360280957411414,0.2731377485358823,-0.007132251464117723
3,ACC.NS,cement,1,0.8098214285714287,12.237491,0.0,in line with sector,0.109280005,0.082959995,1.2187217464845206,1.0208563860998299,0.10321383803971876,-0.006066166960281241
4,LUPIN.NS,pharma_healthcare,1,0.7777777777777778,21.392656,0.0,in line with sector,0.26907,0.19073999,1.2244836684519564,1.2947300578975574,0.3023945663267333,0.03332456632673331
5,COLPAL.NS,fmcg,1,0.7750000000000001,42.92563,0.0,in line with sector,0.81593,0.21959999,3.777244004519888,1.0299284771890842,0.8543079010511583,0.038377901051158236
6,NMDC.NS,metals_mining,1,0.7664285714285715,9.848878,0.668469,in line with sector,0.23363,0.23231001,0.941535414635464,1.1880907738724862,0.2598688394849135,0.026238839484913512
7,PNB.NS,banking,2,0.7646198830409356,7.025,0.3804180000000006,in line with sector,,0.38147,0.4175437957776446,1.0421177330895015,0.16598896248719064,
8,COALINDIA.NS,metals_mining,2,0.7545238095238096,8.51194,-0.668469,in line with sector,0.28124002,0.18465,1.4139217823847143,1.1181527758057912,0.2919280614649509,0.010688041464950948
9,LICI.NS,insurance,1,0.75,9.492515,0.0,in line with sector,0.40769002,0.06321,5.485817586263247,1.0043142523323474,0.34825453342290746,-0.05943548657709252
10,IRCTC.NS,infra_logistics_defense,1,0.7468181818181819,28.781681,0.0,in line with sector,0.34959,0.26721,1.2103574830708552,1.0187362920631446,0.32947930756780575,-0.020110692432194266
