rank,ticker,sector,fetched_at,market_cap,price,trailing_pe,ev_to_ebitda,return_on_equity,debt_to_equity,revenue_growth,net_margin,asset_turnover,total_debt,total_equity,fetch_ok,error,debt_to_equity_ratio,sector_rank,composite_score,buckets_used,valuation_bucket_score,quality_bucket_score,leverage_bucket_score,growth_bucket_score,trailing_pe_score,ev_to_ebitda_score,return_on_equity_score,net_margin_score,debt_to_equity_ratio_score,revenue_growth_score
1,HEROMOTOCO.NS,auto,2026-07-26T06:07:21.135948+00:00,1002685792256,5011.1,17.482817,12.951,0.28027,3.57,0.302,0.12109999,2.1770383768779045,7786100224.0,216111900000.0,True,,0.0356999999999999,1,0.8323529411764705,4,0.8235294117647058,0.9117647058823529,0.7647058823529411,0.7941176470588235,0.9411764705882353,0.7058823529411764,1.0,0.8235294117647058,0.7647058823529411,0.7941176470588235
2,UNIONBANK.NS,banking,2026-07-26T06:06:53.086755+00:00,1301529755648,170.5,6.3054733,,0.15798001,,,0.40460998,0.4405326153885003,,1334472821000.0,True,,,1,0.805921052631579,2,0.736842105263158,0.875,,,0.736842105263158,,0.75,1.0,,
3,IOB.NS,banking,2026-07-26T06:06:57.411730+00:00,652413304832,33.88,11.369128,,0.16525999,,0.481,0.36560002,0.4979208850448562,472398987264.0,369906675000.0,True,,,2,0.798611111111111,3,0.5789473684210527,0.9210526315789473,,0.9444444444444444,0.5789473684210527,,1.0,0.8421052631578947,,0.9444444444444444
4,HINDZINC.NS,metals_mining,2026-07-26T06:08:10.330706+00:00,2247658569728,531.95,13.173601,,,39.034,0.853,0.37589002,1.731936895134562,,226290000000.0,True,,0.3903399999999999,1,0.78,4,0.6666666666666667,1.0,0.4,1.0,0.6666666666666667,,,1.0,0.4,1.0
5,COLPAL.NS,fmcg,2026-07-26T06:07:54.918333+00:00,567389257728,2086.1,42.739193,29.835,0.81593,2.993,0.091,0.21959999,3.777244004519888,474100000.0,15841100000.0,True,,0.02993,1,0.7750000000000001,4,0.6666666666666667,0.9166666666666667,0.9166666666666666,0.5833333333333334,0.6666666666666667,0.6666666666666667,1.0,0.8333333333333334,0.9166666666666666,0.5833333333333334
6,LUPIN.NS,pharma_healthcare,2026-07-26T06:07:36.255214+00:00,1083875262464,2370.5,20.36687,13.474,0.26907,29.388,0.319,0.19073999,1.2244836684519564,66161799168.0,224482700000.0,True,,0.29388,1,0.7729861111111112,4,0.8784722222222222,0.8833333333333333,0.2777777777777778,0.9444444444444444,0.9444444444444444,0.8125,0.9333333333333333,0.8333333333333334,0.2777777777777778,0.9444444444444444
7,COALINDIA.NS,metals_mining,2026-07-26T06:08:03.013532+00:00,2633950035968,427.4,8.46672,5.397,0.28124002,11.629,0.162,0.18465,1.4139217823847143,140721799168.0,1191015600000.0,True,,0.1162899999999999,2,0.7563170163170163,4,0.8897435897435897,0.7424242424242424,0.6666666666666667,0.6666666666666666,0.9333333333333333,0.8461538461538461,0.8181818181818182,0.6666666666666666,0.6666666666666667,0.6666666666666666
8,IRCTC.NS,infra_logistics_defense,2026-07-26T06:09:09.882018+00:00,396039979008,495.05,28.40218,22.099,0.34959,1.874,0.151,0.26721,1.2103574830708552,807259008.0,43085313000.0,True,,0.01874,1,0.7536363636363638,4,0.6,0.9545454545454546,0.8,0.6363636363636364,0.7,0.5,1.0,0.9090909090909091,0.8,0.6363636363636364
9,PNB.NS,banking,2026-07-26T06:06:50.549543+00:00,1268590968832,110.38,5.742976,,0.14965999,,0.152,0.38147,0.4175437957776446,63164899328.0,1499722200000.0,True,,,3,0.747532894736842,3,0.8947368421052632,0.7653508771929824,,0.5,0.8947368421052632,,0.5833333333333334,0.9473684210526315,,0.5
10,NMDC.NS,metals_mining,2026-07-26T06:08:03.936287+00:00,734644207616,83.56,9.865407,7.382,0.23363,18.802,0.619,0.23231001,0.941535414635464,64068100096.0,340623300000.0,True,,0.18802,3,0.7444289044289044,4,0.7410256410256411,0.7181818181818183,0.6,0.9333333333333333,0.8666666666666667,0.6153846153846154,0.6363636363636364,0.8,0.6,0.9333333333333333
