rank,ticker,sector,fetched_at,market_cap,price,trailing_pe,ev_to_ebitda,return_on_equity,debt_to_equity,revenue_growth,net_margin,asset_turnover,total_debt,total_equity,fetch_ok,error,debt_to_equity_ratio,sector_rank,composite_score,buckets_used,valuation_bucket_score,quality_bucket_score,leverage_bucket_score,growth_bucket_score,trailing_pe_score,ev_to_ebitda_score,return_on_equity_score,net_margin_score,debt_to_equity_ratio_score,revenue_growth_score
1,HEROMOTOCO.NS,auto,2026-07-27T06:31:38.382257+00:00,1020874194944,5102.0,17.799952,12.951,0.28027,3.57,0.302,0.12109999,2.1770383768779045,7786100224.0,216111900000.0,True,,0.0356999999999999,1,0.8323529411764705,4,0.8235294117647058,0.9117647058823529,0.7647058823529411,0.7941176470588235,0.9411764705882353,0.7058823529411764,1.0,0.8235294117647058,0.7647058823529411,0.7941176470588235
2,UNIONBANK.NS,banking,2026-07-27T06:31:10.675429+00:00,1300155727872,170.32,6.2988167,,0.15798001,,,0.40460998,0.4405326153885003,,1334472821000.0,True,,,1,0.805921052631579,2,0.736842105263158,0.875,,,0.736842105263158,,0.75,1.0,,
3,IOB.NS,banking,2026-07-27T06:31:14.963310+00:00,656649682944,34.1,11.442952,,0.16525999,,0.481,0.36560002,0.4979208850448562,472398987264.0,369906675000.0,True,,,2,0.798611111111111,3,0.5789473684210527,0.9210526315789473,,0.9444444444444444,0.5789473684210527,,1.0,0.8421052631578947,,0.9444444444444444
4,LUPIN.NS,pharma_healthcare,2026-07-27T06:31:53.387747+00:00,1099787141120,2405.3,20.665865,13.474,0.26907,29.388,0.319,0.19073999,1.2244836684519564,66161799168.0,224482700000.0,True,,0.29388,1,0.7761111111111111,4,0.8888888888888888,0.8833333333333333,0.2777777777777778,0.9444444444444444,0.9444444444444444,0.8333333333333334,0.9333333333333333,0.8333333333333334,0.2777777777777778,0.9444444444444444
5,COLPAL.NS,fmcg,2026-07-27T06:32:12.295254+00:00,579492642816,2130.6,43.65089,29.835,0.81593,2.993,0.091,0.21959999,3.777244004519888,474100000.0,15841100000.0,True,,0.02993,1,0.7750000000000001,4,0.6666666666666667,0.9166666666666667,0.9166666666666666,0.5833333333333334,0.6666666666666667,0.6666666666666667,1.0,0.8333333333333334,0.9166666666666666,0.5833333333333334
6,COALINDIA.NS,metals_mining,2026-07-27T06:32:20.658135+00:00,2649048743936,429.85,8.515254,5.397,0.28124002,11.629,0.162,0.18465,1.4139217823847143,140721799168.0,1191015600000.0,True,,0.1162899999999999,1,0.7566666666666666,4,0.9,0.7333333333333334,0.6666666666666667,0.6666666666666666,0.9333333333333333,0.8666666666666667,0.8,0.6666666666666666,0.6666666666666667,0.6666666666666666
7,HINDZINC.NS,metals_mining,2026-07-27T06:32:28.299075+00:00,2239207833600,529.95,13.124071,8.361,,39.034,0.717,0.38068,1.731936895134562,88330002432.0,226290000000.0,True,,0.3903399999999999,2,0.75,4,0.5666666666666667,1.0,0.4,1.0,0.6666666666666667,0.4666666666666667,,1.0,0.4,1.0
8,PNB.NS,banking,2026-07-27T06:31:08.288742+00:00,1278704877568,111.26,5.788762,,0.14965999,,0.152,0.38147,0.4175437957776446,63164899328.0,1499722200000.0,True,,,3,0.747532894736842,3,0.8947368421052632,0.7653508771929824,,0.5,0.8947368421052632,,0.5833333333333334,0.9473684210526315,,0.5
9,IRCTC.NS,infra_logistics_defense,2026-07-27T06:33:27.748812+00:00,396360024064,495.45,28.425129,22.099,0.34959,1.874,0.151,0.26721,1.2103574830708552,807259008.0,43085313000.0,True,,0.01874,1,0.7468181818181819,4,0.5772727272727273,0.9545454545454546,0.8,0.6363636363636364,0.7,0.4545454545454546,1.0,0.9090909090909091,0.8,0.6363636363636364
10,GILLETTE.NS,consumer_durables_retail,2026-07-27T06:33:18.824297+00:00,258188951552,7923.5,48.42623,26.764,0.66443,0.002,0.032,0.21110001,2.7109660547530554,200000.0,9712700000.0,True,,2e-05,1,0.7384615384615384,4,0.6428571428571428,0.9615384615384616,0.9285714285714286,0.35714285714285715,0.7142857142857143,0.5714285714285714,0.9230769230769231,1.0,0.9285714285714286,0.35714285714285715
