ticker,sector,rank,naive_rank,composite_score,trailing_pe
NATIONALUM.NS,metals_mining,1,21.0,0.8766666666666667,9.507231
KAJARIACER.NS,consumer_durables_retail,2,110.0,0.8107142857142857,35.50263
HEROMOTOCO.NS,auto,3,56.0,0.7985294117647059,19.511478
IOB.NS,banking,4,27.0,0.7796052631578948,10.884746
COALINDIA.NS,metals_mining,5,17.0,0.7766666666666666,8.209937
OBEROIRLTY.NS,realty,6,65.0,0.7750000000000001,23.44067
BEL.NS,capital_goods,7,148.0,0.7738562091503268,46.733727
GNFC.NS,chemicals,8,18.0,0.7727272727272727,8.276204
HAL.NS,capital_goods,9,107.0,0.7684640522875817,34.176823
LUPIN.NS,pharma_healthcare,10,48.0,0.7611111111111111,17.305717
GILLETTE.NS,consumer_durables_retail,11,111.0,0.7607142857142857,35.60425
POLYCAB.NS,capital_goods,12,139.0,0.7470588235294118,43.380413
BANKINDIA.NS,banking,13,3.0,0.7450657894736842,5.124954
IRCTC.NS,infra_logistics_defense,14,68.0,0.7435606060606059,26.577572
ITC.NS,fmcg,15,45.0,0.7416666666666667,16.396425
UNIONBANK.NS,banking,16,10.0,0.7286184210526315,6.4097347
HINDZINC.NS,metals_mining,17,38.0,0.7266666666666667,13.946402
EMAMILTD.NS,fmcg,18,62.0,0.725,22.36873
CANBK.NS,banking,19,7.0,0.7236842105263158,5.582313
COLPAL.NS,fmcg,20,120.0,0.7208333333333333,37.38235
MARUTI.NS,auto,21,74.0,0.7165032679738561,27.228453
GHCL.NS,chemicals,22,14.0,0.7155303030303031,7.4852757
EICHERMOT.NS,auto,23,114.0,0.7099673202614379,35.82984
MUTHOOTFIN.NS,nbfc_financial_services,24,23.0,0.7038461538461538,9.792864
PGHH.NS,consumer_durables_retail,25,95.0,0.7,31.390043
ARE&M.NS,auto,26,43.0,0.6995098039215687,15.620409
TCS.NS,it,27,44.0,0.6825,16.393
RECLTD.NS,nbfc_financial_services,28,4.0,0.6824175824175824,5.126707
ICICIGI.NS,insurance,29,91.0,0.675,30.43425
IDEA.NS,telecom_media,30,1.0,0.675,4.133721
DIVISLAB.NS,pharma_healthcare,31,189.0,0.6722222222222223,84.70428
HINDCOPPER.NS,metals_mining,32,136.0,0.6633333333333333,42.206776
ACC.NS,cement,33,30.0,0.6625000000000001,12.131859
BAJAJ-AUTO.NS,auto,34,75.0,0.6604575163398694,27.26689
ADANIPORTS.NS,infra_logistics_defense,35,88.0,0.6477272727272727,29.590513
AMBUJACEM.NS,cement,36,60.0,0.64375,21.393719
ONGC.NS,energy_power,37,12.0,0.6409090909090909,6.708586
GLAND.NS,pharma_healthcare,38,142.0,0.6388888888888888,43.70709
SHRIRAMFIN.NS,nbfc_financial_services,39,50.0,0.6379120879120879,17.564896
PNB.NS,banking,40,8.0,0.6348684210526314,5.955567
SUNPHARMA.NS,pharma_healthcare,41,116.0,0.6333333333333334,36.77963
GAIL.NS,energy_power,42,29.0,0.6318181818181818,11.462101
ABBOTINDIA.NS,pharma_healthcare,43,106.0,0.6305555555555555,34.133957
HINDUNILVR.NS,fmcg,44,137.0,0.6291666666666667,42.906414
IOC.NS,energy_power,45,6.0,0.6227272727272727,5.379711
NMDC.NS,metals_mining,46,22.0,0.62,9.553191
LICI.NS,insurance,47,19.0,0.62,8.410465
TATAELXSI.NS,it,48,101.0,0.615,32.80521
M&M.NS,auto,49,53.0,0.6129084967320262,18.585852
VBL.NS,fmcg,50,131.0,0.6125,41.746746
CUMMINSIND.NS,capital_goods,51,167.0,0.6001633986928104,58.85697
INFY.NS,it,52,37.0,0.6,13.8989315
NAVINFLUOR.NS,chemicals,53,158.0,0.5928030303030303,53.97772
GODREJPROP.NS,realty,54,97.0,0.5916666666666666,31.770247
MAZDOCK.NS,infra_logistics_defense,55,102.0,0.5875,33.10454
INDUSTOWER.NS,telecom_media,56,40.0,0.585,14.133507
GICRE.NS,insurance,57,13.0,0.5791666666666666,6.7276144
DLF.NS,realty,58,113.0,0.5750000000000001,35.75808
HCLTECH.NS,it,59,55.0,0.5750000000000001,19.40452
RELAXO.NS,consumer_durables_retail,60,133.0,0.575,42.04698
TIMKEN.NS,capital_goods,61,160.0,0.5700980392156862,55.201576
ALKEM.NS,pharma_healthcare,62,87.0,0.5666666666666667,29.58647
LICHSGFIN.NS,nbfc_financial_services,63,5.0,0.5664835164835165,5.2693005
MRF.NS,auto,64,61.0,0.5647058823529413,21.936586
IPCALAB.NS,pharma_healthcare,65,123.0,0.5638888888888889,38.067833
GLENMARK.NS,pharma_healthcare,66,118.0,0.5638888888888889,37.01527
ADANIPOWER.NS,energy_power,67,79.0,0.5636363636363637,27.614035
FEDERALBNK.NS,banking,68,51.0,0.5592105263157894,17.976383
CONCOR.NS,infra_logistics_defense,69,86.0,0.5549242424242424,29.51271
KEI.NS,capital_goods,70,141.0,0.5549019607843138,43.452267
RELIANCE.NS,energy_power,71,63.0,0.5545454545454546,22.410246
BPCL.NS,energy_power,72,15.0,0.5545454545454546,7.6539516
SUPREMEIND.NS,capital_goods,73,129.0,0.55359477124183,41.13698
PIIND.NS,chemicals,74,89.0,0.5515151515151515,30.03771
CIPLA.NS,pharma_healthcare,75,100.0,0.55,32.788372
PFC.NS,nbfc_financial_services,76,2.0,0.5489010989010988,4.35492
HUDCO.NS,nbfc_financial_services,77,16.0,0.5483516483516484,7.8964705
UCOBANK.NS,banking,78,26.0,0.5476973684210527,10.52
HAVELLS.NS,capital_goods,79,132.0,0.5475490196078432,41.78503
NBCC.NS,infra_logistics_defense,80,85.0,0.5439393939393941,29.510792
LALPATHLAB.NS,pharma_healthcare,81,173.0,0.5416666666666667,60.14893
PAGEIND.NS,consumer_durables_retail,82,155.0,0.5392857142857143,51.639935
TMPV.NS,auto,83,197.0,0.5388888888888889,
NCC.NS,infra_logistics_defense,84,32.0,0.5382575757575758,12.315693
SHREECEM.NS,cement,85,152.0,0.5375000000000001,48.532932
PERSISTENT.NS,it,86,144.0,0.5375000000000001,45.074604
SKFINDIA.NS,capital_goods,87,112.0,0.5374183006535947,35.608746
GRINDWELL.NS,capital_goods,88,150.0,0.5372549019607843,47.11714
BANKBARODA.NS,banking,89,11.0,0.5370065789473685,6.5549917
VEDL.NS,metals_mining,90,28.0,0.5366666666666666,11.2874775
BOSCHLTD.NS,auto,91,170.0,0.5366013071895425,59.885777
NTPC.NS,energy_power,92,24.0,0.5363636363636364,10.1586075
BHARTIARTL.NS,telecom_media,93,125.0,0.53,38.308624
DABUR.NS,fmcg,94,109.0,0.5291666666666667,34.822727
ULTRACEMCO.NS,cement,95,119.0,0.525,37.25551
CENTRALBK.NS,banking,96,9.0,0.519736842105263,6.003976
SBIN.NS,banking,97,25.0,0.5156249999999999,10.315339
DEEPAKNTR.NS,chemicals,98,76.0,0.5151515151515151,27.41671
AXISBANK.NS,banking,99,36.0,0.509046052631579,13.770782
KOTAKBANK.NS,banking,100,57.0,0.506578947368421,20.065311
DRREDDY.NS,pharma_healthcare,101,84.0,0.5055555555555555,29.494087
CHAMBLFERT.NS,chemicals,102,20.0,0.5049242424242424,8.60453
SUNDRMFAST.NS,auto,103,134.0,0.5047385620915033,42.118298
POWERGRID.NS,energy_power,104,33.0,0.5045454545454545,12.928501
ICICIBANK.NS,banking,105,49.0,0.5008223684210525,17.345236
NESTLEIND.NS,fmcg,106,181.0,0.5,69.39747
PIDILITIND.NS,chemicals,107,168.0,0.5,59.083336
MANAPPURAM.NS,nbfc_financial_services,108,54.0,0.4994505494505494,19.280926
AUROPHARMA.NS,pharma_healthcare,109,71.0,0.4944444444444444,26.641438
HEIDELBERG.NS,cement,110,78.0,0.49375,27.578125
WIPRO.NS,it,111,35.0,0.4933333333333333,13.497171
IRFC.NS,nbfc_financial_services,112,41.0,0.4928571428571428,14.388686
ENDURANCE.NS,auto,113,127.0,0.488562091503268,38.98305
WHIRLPOOL.NS,consumer_durables_retail,114,122.0,0.4857142857142857,37.698704
HDFCBANK.NS,banking,115,42.0,0.4777960526315789,15.563764
SIEMENS.NS,capital_goods,116,185.0,0.4759803921568627,79.322105
HINDALCO.NS,metals_mining,117,34.0,0.4733333333333333,13.077539
BAJAJHLDNG.NS,nbfc_financial_services,118,39.0,0.4714285714285714,14.015925
TECHM.NS,it,119,73.0,0.4708333333333333,26.9139
WELCORP.NS,metals_mining,120,82.0,0.4666666666666667,27.980911
IRCON.NS,infra_logistics_defense,121,46.0,0.4632575757575757,16.571428
SBILIFE.NS,insurance,122,179.0,0.4624999999999999,66.18905
COFORGE.NS,it,123,117.0,0.4591666666666666,36.912308
DMART.NS,consumer_durables_retail,124,184.0,0.4499999999999999,78.44604
DIXON.NS,consumer_durables_retail,125,140.0,0.4499999999999999,43.413
ADANIENT.NS,infra_logistics_defense,126,153.0,0.4454545454545454,50.837967
INDIGO.NS,infra_logistics_defense,127,197.0,0.4416666666666667,
TRENT.NS,consumer_durables_retail,128,186.0,0.4321428571428571,82.25997
SRF.NS,chemicals,129,108.0,0.4314393939393939,34.484116
TITAN.NS,consumer_durables_retail,130,182.0,0.4285714285714285,74.53512
PVRINOX.NS,telecom_media,131,143.0,0.42,43.7701
CYIENT.NS,it,132,94.0,0.4191666666666667,31.387503
BAJFINANCE.NS,nbfc_financial_services,133,93.0,0.417032967032967,31.184616
TORNTPHARM.NS,pharma_healthcare,134,183.0,0.4166666666666666,77.62564
JSL.NS,metals_mining,135,52.0,0.4166666666666666,18.380335
LAURUSLABS.NS,pharma_healthcare,136,192.0,0.4166666666666666,97.616196
AUBANK.NS,banking,137,77.0,0.4144736842105263,27.498013
RAMCOCEM.NS,cement,138,96.0,0.4125,31.449541
AARTIIND.NS,chemicals,139,99.0,0.4117424242424242,32.7394
MPHASIS.NS,it,140,66.0,0.41,23.516869
ICICIPRULI.NS,insurance,141,130.0,0.4083333333333333,41.457287
ABB.NS,capital_goods,142,190.0,0.4060457516339869,94.85875
JSWSTEEL.NS,metals_mining,143,31.0,0.4000000000000001,12.153337
CROMPTON.NS,capital_goods,144,197.0,0.3944444444444445,
LT.NS,capital_goods,145,98.0,0.393954248366013,32.33093
COROMANDEL.NS,chemicals,146,92.0,0.3920454545454545,31.1249
ASTRAL.NS,capital_goods,147,178.0,0.3908496732026144,65.14233
TORNTPOWER.NS,energy_power,148,81.0,0.3863636363636363,27.906218
METROPOLIS.NS,pharma_healthcare,149,171.0,0.3861111111111111,59.98459
COCHINSHIP.NS,infra_logistics_defense,150,154.0,0.3852272727272727,51.53577
EXIDEIND.NS,auto,151,121.0,0.3844771241830065,37.54937
PHOENIXLTD.NS,realty,152,156.0,0.3833333333333333,52.513985
UNITDSPR.NS,fmcg,153,165.0,0.3791666666666667,58.050312
DALBHARAT.NS,cement,154,105.0,0.375,33.985985
SOBHA.NS,realty,155,159.0,0.375,54.979156
HDFCLIFE.NS,insurance,156,169.0,0.3733333333333333,59.637527
ASHOKLEY.NS,auto,157,72.0,0.3725490196078431,26.864862
MARICO.NS,fmcg,158,162.0,0.3708333333333333,56.102333
BATAINDIA.NS,consumer_durables_retail,159,161.0,0.3678571428571429,55.711147
RATNAMANI.NS,metals_mining,160,138.0,0.3666666666666666,43.220833
BHEL.NS,capital_goods,161,175.0,0.3663398692810458,61.57781
BAJAJFINSV.NS,nbfc_financial_services,162,83.0,0.3623626373626374,29.431673
