snapshot_date,ticker,sector,acquisition_likelihood_rank,acquisition_likelihood_score,composite_score,rank
2026-07-04,SKFINDIA.NS,capital_goods,1,0.8605882352941177,0.5447058823529412,80
2026-07-04,WHIRLPOOL.NS,consumer_durables_retail,2,0.7767857142857143,0.5428571428571428,82
2026-07-04,ARE&M.NS,auto,3,0.775,0.565625,70
2026-07-04,GNFC.NS,chemicals,4,0.7613636363636365,0.6409090909090909,44
2026-07-04,AUROPHARMA.NS,pharma_healthcare,5,0.7305555555555556,0.4388888888888889,127
2026-07-04,NCC.NS,infra_logistics_defense,6,0.7274999999999999,0.5145454545454545,89
2026-07-04,HEIDELBERG.NS,cement,7,0.721875,0.5857142857142857,64
2026-07-04,CIPLA.NS,pharma_healthcare,8,0.7152777777777778,0.5416666666666666,83
2026-07-04,CENTRALBK.NS,banking,9,0.7142543859649123,0.6437774122807017,40
2026-07-04,GAIL.NS,energy_power,10,0.7113636363636364,0.4136363636363636,136
2026-07-06,SKFINDIA.NS,capital_goods,1,0.8605882352941177,0.5447058823529412,79
2026-07-06,ARE&M.NS,auto,2,0.7779411764705881,0.5823529411764705,67
2026-07-06,WHIRLPOOL.NS,consumer_durables_retail,3,0.7767857142857143,0.5428571428571428,82
2026-07-06,GNFC.NS,chemicals,4,0.7613636363636365,0.6409090909090909,43
2026-07-06,AUROPHARMA.NS,pharma_healthcare,5,0.7416666666666667,0.4472222222222222,123
2026-07-06,NCC.NS,infra_logistics_defense,6,0.7274999999999999,0.5145454545454545,90
2026-07-06,HEIDELBERG.NS,cement,7,0.721875,0.5857142857142857,65
2026-07-06,CIPLA.NS,pharma_healthcare,8,0.7152777777777778,0.5416666666666666,83
2026-07-06,GAIL.NS,energy_power,9,0.7113636363636364,0.4136363636363636,137
2026-07-06,GHCL.NS,chemicals,10,0.6954545454545455,0.6818181818181818,29
2026-07-07,SKFINDIA.NS,capital_goods,1,0.8605882352941177,0.5447058823529412,79
2026-07-07,ARE&M.NS,auto,2,0.7779411764705881,0.5823529411764705,67
2026-07-07,WHIRLPOOL.NS,consumer_durables_retail,3,0.7767857142857143,0.5428571428571428,82
2026-07-07,GNFC.NS,chemicals,4,0.7613636363636365,0.6409090909090909,43
2026-07-07,AUROPHARMA.NS,pharma_healthcare,5,0.7416666666666667,0.4472222222222222,123
2026-07-07,NCC.NS,infra_logistics_defense,6,0.7274999999999999,0.5145454545454545,90
2026-07-07,HEIDELBERG.NS,cement,7,0.721875,0.5857142857142857,65
2026-07-07,CIPLA.NS,pharma_healthcare,8,0.7152777777777778,0.5416666666666666,83
2026-07-07,GAIL.NS,energy_power,9,0.7113636363636364,0.4136363636363636,137
2026-07-07,GHCL.NS,chemicals,10,0.6954545454545455,0.6818181818181818,29
2026-08-05,SKFINDIA.NS,capital_goods,1,0.8150122549019607,0.5858251633986928,62
2026-08-05,HEIDELBERG.NS,cement,2,0.8,0.49375,97
2026-08-05,WHIRLPOOL.NS,consumer_durables_retail,3,0.791468253968254,0.5476190476190476,82
2026-08-05,ARE&M.NS,auto,4,0.7710635769459299,0.5931966726084372,58
2026-08-05,IOC.NS,energy_power,5,0.7681818181818182,0.6227272727272727,44
2026-08-05,BPCL.NS,energy_power,6,0.7681818181818182,0.5545454545454546,77
2026-08-05,GLENMARK.NS,pharma_healthcare,7,0.7611111111111111,0.5972222222222222,57
2026-08-05,GNFC.NS,chemicals,8,0.7375378787878788,0.6057575757575758,52
2026-08-05,ONGC.NS,energy_power,9,0.7261363636363636,0.5704545454545454,68
2026-08-05,CROMPTON.NS,capital_goods,10,0.7172589869281046,0.3963643790849673,148
