ticker,sector,rank,naive_rank,composite_score,trailing_pe
NATIONALUM.NS,metals_mining,1,22.0,0.8533333333333333,11.2192955
KAJARIACER.NS,consumer_durables_retail,2,95.0,0.8307692307692307,34.582607
BEL.NS,capital_goods,3,135.0,0.8218954248366013,47.330154
UNIONBANK.NS,banking,4,8.0,0.8098086124401914,6.482431
HEROMOTOCO.NS,auto,5,46.0,0.8052380952380953,19.175985
IOB.NS,banking,6,24.0,0.798611111111111,11.525252
GILLETTE.NS,consumer_durables_retail,7,134.0,0.776923076923077,47.00555
OBEROIRLTY.NS,realty,8,61.0,0.7750000000000001,24.43689
NMDC.NS,metals_mining,9,19.0,0.7691666666666667,10.071842
COALINDIA.NS,metals_mining,10,13.0,0.7633333333333333,8.252785
LUPIN.NS,pharma_healthcare,11,52.0,0.7585294117647059,20.992718
COLPAL.NS,fmcg,12,116.0,0.7541666666666667,40.414764
IRCTC.NS,infra_logistics_defense,13,77.0,0.7536363636363635,29.568966
ITC.NS,fmcg,14,42.0,0.7416666666666667,18.113867
HINDZINC.NS,metals_mining,15,35.0,0.74,14.718851
BANKINDIA.NS,banking,16,3.0,0.7314261031366294,5.2065654
POLYCAB.NS,capital_goods,17,136.0,0.7279411764705882,48.676746
CANBK.NS,banking,18,5.0,0.7244152046783625,5.9059362
GHCL.NS,chemicals,19,15.0,0.7238636363636364,8.757975
LICI.NS,insurance,20,14.0,0.7166666666666666,8.554602
MUTHOOTFIN.NS,nbfc_financial_services,21,20.0,0.7163461538461539,10.240331
PNB.NS,banking,22,6.0,0.7139819245082402,5.939126
ADANIPORTS.NS,infra_logistics_defense,23,73.0,0.7012121212121212,29.188818
HAL.NS,capital_goods,24,105.0,0.6983660130718954,35.762306
EICHERMOT.NS,auto,25,113.0,0.6876190476190477,38.10871
PGHH.NS,consumer_durables_retail,26,102.0,0.6807692307692308,35.522026
MARUTI.NS,auto,27,81.0,0.6757142857142857,30.81721
IDEA.NS,telecom_media,28,1.0,0.6625,4.018868
DIVISLAB.NS,pharma_healthcare,29,179.0,0.6617647058823529,87.61287
HINDUNILVR.NS,fmcg,30,133.0,0.6583333333333332,46.662945
BAJAJ-AUTO.NS,auto,31,66.0,0.6564285714285714,27.79586
ABBOTINDIA.NS,pharma_healthcare,32,114.0,0.6441176470588235,38.373837
HCLTECH.NS,it,33,54.0,0.6397727272727273,21.14024
SHRIRAMFIN.NS,nbfc_financial_services,34,49.0,0.6390384615384616,20.34111
CUMMINSIND.NS,capital_goods,35,163.0,0.636764705882353,64.13822
TATAELXSI.NS,it,36,100.0,0.6348484848484849,35.362057
LICHSGFIN.NS,nbfc_financial_services,37,2.0,0.6346153846153846,4.887845
GAIL.NS,energy_power,38,25.0,0.6333333333333333,11.631579
PAGEIND.NS,consumer_durables_retail,39,149.0,0.6269230769230769,58.395493
HINDCOPPER.NS,metals_mining,40,140.0,0.6266666666666667,51.74757
ICICIGI.NS,insurance,41,93.0,0.625,34.03353
INFY.NS,it,42,37.0,0.6227272727272727,15.024446
INDUSTOWER.NS,telecom_media,43,33.0,0.62,14.42953
EMAMILTD.NS,fmcg,44,57.0,0.6191666666666668,22.84507
SUNPHARMA.NS,pharma_healthcare,45,115.0,0.6176470588235294,38.812923
GICRE.NS,insurance,46,9.0,0.6145833333333334,6.5189757
GNFC.NS,chemicals,47,18.0,0.6132575757575758,9.567163
NTPC.NS,energy_power,48,21.0,0.6111111111111112,10.351245
AMBUJACEM.NS,cement,49,59.0,0.6062500000000001,24.175823
BPCL.NS,energy_power,50,12.0,0.6000000000000001,8.049023
MAZDOCK.NS,infra_logistics_defense,51,107.0,0.5987878787878788,36.45394
ONGC.NS,energy_power,52,11.0,0.5916666666666667,7.2636895
GODREJPROP.NS,realty,53,88.0,0.5916666666666666,33.1251
ARE&M.NS,auto,54,44.0,0.5876190476190476,18.91675
ACC.NS,cement,55,31.0,0.5875,13.596629
GLAND.NS,pharma_healthcare,56,122.0,0.5861764705882353,41.728516
ADANIPOWER.NS,energy_power,57,69.0,0.5833333333333334,28.285324
GLENMARK.NS,pharma_healthcare,58,98.0,0.5823529411764705,35.18186
ALKEM.NS,pharma_healthcare,59,75.0,0.5814705882352942,29.352741
SKFINDIA.NS,capital_goods,60,68.0,0.5795751633986927,28.25335
DLF.NS,realty,61,104.0,0.5750000000000001,35.7344
MRF.NS,auto,62,58.0,0.5721428571428572,23.595995
M&M.NS,auto,63,50.0,0.5711904761904761,20.741344
CONCOR.NS,infra_logistics_defense,64,84.0,0.568939393939394,31.546894
RAMCOCEM.NS,cement,65,83.0,0.5687500000000001,31.23269
HUDCO.NS,nbfc_financial_services,66,17.0,0.5673076923076923,9.554563
NBCC.NS,infra_logistics_defense,67,101.0,0.5668181818181819,35.498154
GRINDWELL.NS,capital_goods,68,142.0,0.5633986928104575,53.171658
SUPREMEIND.NS,capital_goods,69,125.0,0.5627450980392156,42.823006
NAVINFLUOR.NS,chemicals,70,166.0,0.5625,64.4606
LALPATHLAB.NS,pharma_healthcare,71,152.0,0.5617647058823529,58.78675
WHIRLPOOL.NS,consumer_durables_retail,72,96.0,0.5567307692307693,34.61804
ULTRACEMCO.NS,cement,73,121.0,0.55625,41.459595
PFC.NS,nbfc_financial_services,74,4.0,0.5507692307692307,5.2847857
CHAMBLFERT.NS,chemicals,75,16.0,0.5477272727272727,9.548193
PIDILITIND.NS,chemicals,76,162.0,0.5469696969696971,62.984238
DABUR.NS,fmcg,77,110.0,0.5458333333333333,36.969696
CIPLA.NS,pharma_healthcare,78,103.0,0.5441176470588236,35.637585
VEDL.NS,metals_mining,79,27.0,0.5366666666666666,11.848058
PERSISTENT.NS,it,80,132.0,0.5363636363636364,46.250942
PIIND.NS,chemicals,81,85.0,0.5359848484848485,32.064457
FEDERALBNK.NS,banking,82,47.0,0.5358187134502924,19.293095
NCC.NS,infra_logistics_defense,83,29.0,0.5285606060606061,13.314815
ENDURANCE.NS,auto,84,126.0,0.5271428571428571,42.921467
VBL.NS,fmcg,85,129.0,0.5225,44.50803
WIPRO.NS,it,86,36.0,0.5208333333333334,14.812401
UCOBANK.NS,banking,87,26.0,0.5137559808612441,11.694691
TIMKEN.NS,capital_goods,88,158.0,0.5086601307189542,60.662205
BANKBARODA.NS,banking,89,10.0,0.5085061137692717,7.009946
IRFC.NS,nbfc_financial_services,90,38.0,0.5076923076923077,16.183971
BAJAJHLDNG.NS,nbfc_financial_services,91,34.0,0.5046153846153847,14.505421
SBIN.NS,banking,92,23.0,0.5018607123870281,11.468388
BHARTIARTL.NS,telecom_media,93,119.0,0.5,40.954857
POWERGRID.NS,energy_power,94,30.0,0.5,13.5875
NESTLEIND.NS,fmcg,95,174.0,0.5,77.17105
KEI.NS,capital_goods,96,147.0,0.4967320261437908,57.836372
HEIDELBERG.NS,cement,97,80.0,0.49375,30.497074
AXISBANK.NS,banking,98,32.0,0.4910619351408824,14.242664
SRF.NS,chemicals,99,106.0,0.4909090909090909,36.280537
RELAXO.NS,consumer_durables_retail,100,155.0,0.4831730769230769,59.166668
KOTAKBANK.NS,banking,101,48.0,0.4824561403508771,19.50466
ICICIBANK.NS,banking,102,43.0,0.480761562998405,18.883991
CYIENT.NS,it,103,62.0,0.4803030303030303,25.405764
PVRINOX.NS,telecom_media,104,117.0,0.48,40.659416
TECHM.NS,it,105,71.0,0.4787878787878789,28.530733
SHREECEM.NS,cement,106,154.0,0.475,59.026394
IPCALAB.NS,pharma_healthcare,107,111.0,0.475,37.545433
CENTRALBK.NS,banking,108,7.0,0.4736509835194045,6.190099
WELCORP.NS,metals_mining,109,53.0,0.4733333333333334,21.1266
DMART.NS,consumer_durables_retail,110,177.0,0.4692307692307692,85.87395
COFORGE.NS,it,111,108.0,0.4651515151515151,36.46047
SUNDRMFAST.NS,auto,112,112.0,0.4649999999999999,37.770462
JSL.NS,metals_mining,113,45.0,0.4633333333333333,18.97055
ASTRAL.NS,capital_goods,114,171.0,0.4586601307189543,72.431076
TITAN.NS,consumer_durables_retail,115,178.0,0.4581730769230769,87.365746
MANAPPURAM.NS,nbfc_financial_services,116,79.0,0.4569230769230769,30.39354
HDFCBANK.NS,banking,117,39.0,0.4542464114832535,16.221611
ABB.NS,capital_goods,118,183.0,0.4532679738562091,104.155495
MPHASIS.NS,it,119,60.0,0.4507575757575758,24.348957
TORNTPOWER.NS,energy_power,120,67.0,0.4444444444444444,27.806707
HAVELLS.NS,capital_goods,121,137.0,0.4434640522875817,49.29312
DIXON.NS,consumer_durables_retail,122,118.0,0.4423076923076923,40.92393
INDIGO.NS,infra_logistics_defense,123,187.0,0.4416666666666667,
MARICO.NS,fmcg,124,153.0,0.4408333333333333,58.912594
IRCON.NS,infra_logistics_defense,125,51.0,0.4396969696969697,20.865294
COROMANDEL.NS,chemicals,126,91.0,0.4390151515151514,33.2508
TMPV.NS,auto,127,187.0,0.4383333333333333,
SIEMENS.NS,capital_goods,128,176.0,0.4375816993464052,84.29476
SBILIFE.NS,insurance,129,172.0,0.4374999999999999,72.839455
ADANIENT.NS,infra_logistics_defense,130,143.0,0.4356818181818181,53.248917
AARTIIND.NS,chemicals,131,94.0,0.4295454545454545,34.284245
METROPOLIS.NS,pharma_healthcare,132,160.0,0.428235294117647,62.557133
AUROPHARMA.NS,pharma_healthcare,133,64.0,0.4241176470588235,26.072418
TRENT.NS,consumer_durables_retail,134,181.0,0.4240384615384615,94.36079
BAJFINANCE.NS,nbfc_financial_services,135,99.0,0.4192307692307692,35.327843
BRITANNIA.NS,fmcg,136,139.0,0.4125,51.449894
CROMPTON.NS,capital_goods,137,187.0,0.4053921568627451,
TORNTPHARM.NS,pharma_healthcare,138,175.0,0.4029411764705882,80.26613
BHEL.NS,capital_goods,139,150.0,0.4026143790849673,58.530666
DALBHARAT.NS,cement,140,109.0,0.3999999999999999,36.506577
SBICARD.NS,nbfc_financial_services,141,65.0,0.3961538461538461,27.309603
EXIDEIND.NS,auto,142,124.0,0.3928571428571429,42.80914
UNITDSPR.NS,fmcg,143,164.0,0.3916666666666667,64.15261
UNOMINDA.NS,auto,144,156.0,0.3907142857142857,59.2803
LT.NS,capital_goods,145,92.0,0.3869281045751634,33.6853
GMRAIRPORT.NS,infra_logistics_defense,146,187.0,0.3854166666666667,
LAURUSLABS.NS,pharma_healthcare,147,180.0,0.3852941176470588,92.38
HINDALCO.NS,metals_mining,148,40.0,0.3841666666666666,16.690025
PHOENIXLTD.NS,realty,149,141.0,0.3833333333333333,53.028477
RATNAMANI.NS,metals_mining,150,97.0,0.3816666666666666,34.78722
