ticker,excluded,exclusion_reason,missing_fields,outlier_fields,negative_equity,zero_or_negative_revenue_proxy
JSL.NS,False,,['return_on_equity'],[],False,False
JSWSTEEL.NS,False,,['return_on_equity'],[],False,False
JUBLFOOD.NS,True,missing critical fields: ['market_cap'],['market_cap'],[],False,False
KAJARIACER.NS,False,,['return_on_equity'],[],False,False
KEI.NS,False,,"['ev_to_ebitda', 'return_on_equity', 'total_debt']",[],False,False
KOTAKBANK.NS,False,,"['ev_to_ebitda', 'return_on_equity', 'debt_to_equity']",[],False,False
KPITTECH.NS,False,,['return_on_equity'],[],False,False
LALPATHLAB.NS,False,,['return_on_equity'],[],False,False
LAURUSLABS.NS,False,,['return_on_equity'],[],False,False
LICHSGFIN.NS,False,,"['ev_to_ebitda', 'return_on_equity']",[],False,False
LICI.NS,False,,[],[],False,False
LTIM.NS,True,"ingestion failed: yfinance returned an empty info payload for LTIM.NS (no exception, but no usable data — likely a transient Yahoo-side issue or an invalid/delisted symbol)",[],[],False,False
LTTS.NS,False,,['return_on_equity'],[],False,False
LT.NS,False,,['return_on_equity'],[],False,False
LUPIN.NS,False,,[],[],False,False
M&M.NS,False,,['return_on_equity'],[],False,False
MANAPPURAM.NS,False,,['ev_to_ebitda'],[],False,False
MARICO.NS,False,,[],[],False,False
MARUTI.NS,False,,['return_on_equity'],[],False,False
MAZDOCK.NS,False,,['return_on_equity'],[],False,False
METROPOLIS.NS,False,,[],[],False,False
MOTHERSON.NS,False,,[],[],False,False
MPHASIS.NS,False,,[],[],False,False
MRF.NS,False,,[],[],False,False
MUTHOOTFIN.NS,False,,['ev_to_ebitda'],[],False,False
NATIONALUM.NS,False,,['return_on_equity'],[],False,False
NAVINFLUOR.NS,False,,[],[],False,False
NBCC.NS,False,,[],[],False,False
NCC.NS,False,,[],[],False,False
NESTLEIND.NS,False,,['return_on_equity'],[],False,False
NMDC.NS,False,,[],[],False,False
NTPC.NS,False,,['return_on_equity'],[],False,False
OBEROIRLTY.NS,False,,['return_on_equity'],[],False,False
ONGC.NS,False,,[],[],False,False
PAGEIND.NS,False,,[],[],False,False
PERSISTENT.NS,False,,['return_on_equity'],[],False,False
PFC.NS,False,,['ev_to_ebitda'],[],False,False
PGHH.NS,False,,['return_on_equity'],[],False,False
PHOENIXLTD.NS,False,,['return_on_equity'],[],False,False
PIDILITIND.NS,False,,['return_on_equity'],[],False,False
PIIND.NS,False,,[],[],False,False
PNB.NS,False,,"['ev_to_ebitda', 'debt_to_equity']",[],False,False
POLYCAB.NS,False,,[],[],False,False
POONAWALLA.NS,False,,"['ev_to_ebitda', 'return_on_equity']",[],False,False
POWERGRID.NS,False,,[],[],False,False
PRESTIGE.NS,False,,[],[],False,False
PVRINOX.NS,False,,['return_on_equity'],[],False,False
RAMCOCEM.NS,False,,[],[],False,False
RATNAMANI.NS,False,,[],[],False,False
RBLBANK.NS,False,,"['ev_to_ebitda', 'return_on_equity', 'debt_to_equity']",[],False,False
RECLTD.NS,True,missing critical fields: ['market_cap'],"['market_cap', 'ev_to_ebitda', 'return_on_equity']",[],False,False
RELAXO.NS,False,,[],[],False,False
RELIANCE.NS,True,missing critical fields: ['market_cap'],"['market_cap', 'return_on_equity']",[],False,False
RVNL.NS,False,,[],[],False,False
SAIL.NS,False,,['return_on_equity'],[],False,False
SBICARD.NS,False,,"['ev_to_ebitda', 'return_on_equity']",[],False,False
SBILIFE.NS,False,,['debt_to_equity'],[],False,False
SBIN.NS,False,,"['ev_to_ebitda', 'debt_to_equity']",[],False,False
SHREECEM.NS,False,,['return_on_equity'],[],False,False
SHRIRAMFIN.NS,False,,['ev_to_ebitda'],[],False,False
SIEMENS.NS,False,,['return_on_equity'],[],False,False
SKFINDIA.NS,False,,[],[],False,False
SOBHA.NS,False,,['return_on_equity'],[],False,False
SRF.NS,False,,['return_on_equity'],[],False,False
SUNDRMFAST.NS,False,,[],[],False,False
SUNPHARMA.NS,False,,['return_on_equity'],[],False,False
SUPREMEIND.NS,False,,['return_on_equity'],[],False,False
TATACHEM.NS,False,,"['trailing_pe', 'return_on_equity']",[],False,False
TATACONSUM.NS,False,,['return_on_equity'],[],False,False
TATAELXSI.NS,False,,['return_on_equity'],[],False,False
TATAPOWER.NS,False,,['return_on_equity'],[],False,False
TATASTEEL.NS,False,,['return_on_equity'],[],False,False
TCS.NS,True,missing critical fields: ['market_cap'],['market_cap'],[],False,False
