ticker,sector,fetched_at,market_cap,price,trailing_pe,ev_to_ebitda,return_on_equity,debt_to_equity,revenue_growth,net_margin,asset_turnover,total_debt,total_equity,fetch_ok,error,debt_to_equity_ratio
AARTIIND.NS,chemicals,2026-09-13T08:04:17.545062+00:00,178715443200,492.7,33.677376,17.167,,83.392,0.425,0.05901,1.3705483684627682,49659998208.0,59551200000.0,True,,0.83392
ABBOTINDIA.NS,pharma_healthcare,2026-09-13T08:03:15.771184+00:00,542919655424,25550.0,33.66981,27.137,,3.602,0.043,0.23052,1.4509058081056683,1719900032.0,47741900000.0,True,,0.036019999999999996
ABB.NS,capital_goods,2026-09-13T08:04:00.710364+00:00,1541421531136,7274.0,97.09023,76.209,0.19131,1.547,0.121,0.21349001,1.667347712286514,1445200000.0,78359900000.0,True,,0.01547
ACC.NS,cement,2026-09-13T08:01:51.798066+00:00,234076831744,1246.5,12.300179,9.625,,2.085,-0.038,0.07563,1.2187217464845206,4286099968.0,205505400000.0,True,,0.02085
ADANIENT.NS,infra_logistics_defense,2026-09-13T08:04:43.954100+00:00,4354298609664,3060.0,53.18964,33.476,,119.56,0.499,0.06546,1.238997132563782,1066217897984.0,809259500000.0,True,,1.1956
ADANIGREEN.NS,energy_power,2026-09-13T08:03:56.108046+00:00,2110526980096,1281.3,123.43931,27.373,,346.548,0.166,0.13095,0.6173804157275231,1035449991168.0,199650000000.0,True,,3.46548
ADANIPORTS.NS,infra_logistics_defense,2026-09-13T08:04:43.128703+00:00,4065566130176,1764.6,30.122908,19.993,,64.051,0.186,0.32431,0.4029716422211426,633989890048.0,961253000000.0,True,,0.64051
ADANIPOWER.NS,energy_power,2026-09-13T08:03:57.009945+00:00,4049207558144,209.97,28.41272,20.858,,82.332,0.34,0.24148001,0.8339199542694382,546702884864.0,649368800000.0,True,,0.8233199999999999
ALKEM.NS,pharma_healthcare,2026-09-13T08:03:14.972731+00:00,608286932992,5087.5,28.168428,20.279,,14.267,0.109,0.14306,1.0515365301264101,20471599104.0,138201000000.0,True,,0.14267
AMBUJACEM.NS,cement,2026-09-13T08:01:52.747181+00:00,973675626496,391.85,21.977005,17.547,,1.205,-0.077,0.11128,0.6734828127032526,8659300352.0,593473200000.0,True,,0.01205
APLAPOLLO.NS,metals_mining,2026-09-13T08:03:42.579414+00:00,597937356800,2153.5,48.545986,32.195,,9.396,0.085,0.052259997,4.226419939092198,4976500224.0,52965300000.0,True,,0.09396
APOLLOHOSP.NS,pharma_healthcare,2026-09-13T08:03:16.575631+00:00,1270481158144,8836.0,60.975777,36.322,,85.146,0.206,0.07906,2.6276727038744316,84929003520.0,94801000000.0,True,,0.85146
ARE&M.NS,auto,2026-09-13T08:03:05.377930+00:00,148964343808,813.9,16.15522,10.034,,5.015,0.239,0.06303,1.6989773995673518,4061600000.0,80989600000.0,True,,0.05015
ASTRAL.NS,capital_goods,2026-09-13T08:04:10.633452+00:00,379172880384,1411.4,65.79953,34.556,,6.168,0.159,0.084809996,1.6150225486088863,2503000064.0,40579000000.0,True,,0.06168
AUBANK.NS,banking,2026-09-13T08:02:28.374224+00:00,793556484096,1058.9,28.087534,,,,0.298,0.21372999,0.6056505808039263,138715447296.0,199735220000.0,True,,
AUROPHARMA.NS,pharma_healthcare,2026-09-13T08:03:12.299084+00:00,966519881728,1679.8,26.246876,13.537,,21.31,0.163,0.10627,0.8810737756251688,80728399872.0,378909700000.0,True,,0.21309999999999998
